system:index,classification,.geo
0_217,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47594777680654,23.782897147064332]}"
0_218,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5208635410125,23.782897147064332]}"
0_219,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56577930521848,23.782897147064332]}"
0_220,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.61069506942447,23.782897147064332]}"
0_221,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.65561083363043,23.782897147064332]}"
0_222,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.70052659783642,23.782897147064332]}"
0_223,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.74544236204238,23.782897147064332]}"
0_224,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.79035812624836,23.782897147064332]}"
0_225,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.83527389045435,23.782897147064332]}"
0_226,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88018965466031,23.782897147064332]}"
0_227,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.9251054188663,23.782897147064332]}"
0_228,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.97002118307226,23.782897147064332]}"
0_229,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.01493694727824,23.782897147064332]}"
0_230,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.99372755800933,23.827812911270307]}"
0_231,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.0386433222153,23.827812911270307]}"
0_232,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.08355908642127,23.827812911270307]}"
0_233,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.12847485062726,23.827812911270307]}"
0_234,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.17339061483322,23.827812911270307]}"
0_235,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.2183063790392,23.827812911270307]}"
0_236,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.26322214324517,23.827812911270307]}"
0_237,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30813790745115,23.827812911270307]}"
0_238,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.35305367165714,23.827812911270307]}"
0_239,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3979694358631,23.827812911270307]}"
0_240,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44288520006909,23.827812911270307]}"
0_241,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.48780096427505,23.827812911270307]}"
0_242,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53271672848103,23.827812911270307]}"
0_243,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.57763249268702,23.827812911270307]}"
0_244,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.62254825689298,23.827812911270307]}"
0_245,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.66746402109897,23.827812911270307]}"
0_246,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71237978530493,23.827812911270307]}"
0_247,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.75729554951091,23.827812911270307]}"
0_248,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.8022113137169,23.827812911270307]}"
0_249,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84712707792286,23.827812911270307]}"
0_250,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.89204284212884,23.827812911270307]}"
0_251,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.93695860633483,23.827812911270307]}"
0_252,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9818743705408,23.827812911270307]}"
0_253,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.02679013474678,23.827812911270307]}"
0_254,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.07170589895274,23.827812911270307]}"
0_255,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11662166315872,23.827812911270307]}"
0_256,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1615374273647,23.827812911270307]}"
0_257,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20645319157067,23.827812911270307]}"
0_258,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25136895577666,23.827812911270307]}"
0_259,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29628471998262,23.827812911270307]}"
0_260,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3412004841886,23.827812911270307]}"
0_261,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38611624839459,23.827812911270307]}"
0_262,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43103201260055,23.827812911270307]}"
