system:index,classification,.geo
0_220,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,16.147217232048398]}"
0_221,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,16.147217232048398]}"
0_222,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,16.147217232048398]}"
0_223,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,16.147217232048398]}"
0_224,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,16.147217232048398]}"
0_225,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,16.147217232048398]}"
0_226,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,16.147217232048398]}"
0_227,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,16.147217232048398]}"
0_228,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,16.147217232048398]}"
0_229,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,16.147217232048398]}"
0_230,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,16.147217232048398]}"
0_231,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,16.147217232048398]}"
0_232,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,16.147217232048398]}"
0_233,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,16.147217232048398]}"
0_234,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,16.147217232048398]}"
0_235,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,16.147217232048398]}"
0_236,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,16.147217232048398]}"
0_237,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,16.147217232048398]}"
0_238,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,16.147217232048398]}"
0_239,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40296340719937,16.147217232048398]}"
0_240,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.36990083046192,16.192132996254376]}"
0_241,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,16.192132996254376]}"
0_242,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,16.192132996254376]}"
0_243,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,16.192132996254376]}"
0_244,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,16.192132996254376]}"
0_245,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,16.192132996254376]}"
0_246,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,16.192132996254376]}"
0_247,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,16.192132996254376]}"
0_248,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,16.192132996254376]}"
0_249,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,16.192132996254376]}"
0_250,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,16.192132996254376]}"
0_251,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,16.192132996254376]}"
0_252,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,16.192132996254376]}"
0_253,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,16.192132996254376]}"
0_254,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,16.192132996254376]}"
0_255,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,16.192132996254376]}"
0_256,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,16.192132996254376]}"
0_257,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,16.192132996254376]}"
0_258,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,16.192132996254376]}"
0_259,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,16.192132996254376]}"
0_260,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,16.192132996254376]}"
0_261,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,16.192132996254376]}"
0_262,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,16.192132996254376]}"
